"run_type","pass","position","threads","search","event","helper","diagnostic"
"measured","1","2","4","100","bestmove","-","SMPDIAG search=100 event=bestmove source=main-result move=e1d2 legal=true main_depth=13 main_move=e1d2 latest_move=e1d2 main_score_cp=177 main_nodes=6677 main_qnodes=7118 main_tt_hits=8140 main_pv=e1d2,e8d7,d2e3,d7d6,e3f4,d6e6,e2e4,e6f6,e4e5,f6g6,f4g4,g6g7,g4f5,g7f7 aborted=false helper_submitted=3 helper_started=3 helper_exited=3 helper_pending=0 helper_exceptions=0 abort_ms=7 bestmove_ms=7 search_elapsed_ns=7255600"
"measured","1","2","4","100","drained","-","SMPDIAG search=100 event=drained helper_submitted=3 helper_started=3 helper_exited=3 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=7378700 hashfull=2"
"measured","1","2","1","101","begin","-","SMPDIAG search=101 event=begin threads=1 helpers=0 available_cores=16"
"measured","1","2","1","101","bestmove","-","SMPDIAG search=101 event=bestmove source=main-result move=e1d2 legal=true main_depth=13 main_move=e1d2 latest_move=e1d2 main_score_cp=160 main_nodes=7568 main_qnodes=7523 main_tt_hits=8952 main_pv=e1d2,e8d7,d2e3,d7d6,e3f4,d6e6,e2e4,e6f6,e4e5,f6e7,f4e3,e7d7,e3e4,d7e6 aborted=false helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 abort_ms=7 bestmove_ms=7 search_elapsed_ns=7913200"
"measured","1","2","1","101","drained","-","SMPDIAG search=101 event=drained helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=8009900 hashfull=2"
"measured","1","2","2","102","begin","-","SMPDIAG search=102 event=begin threads=2 helpers=1 available_cores=16"
"measured","1","2","2","102","submit","1","SMPDIAG search=102 event=submit helper=1 ms=0 start_depth=2"
"measured","1","2","2","102","start","1","SMPDIAG search=102 event=start helper=1 ms=0"
"measured","1","2","2","102","exit","1","SMPDIAG search=102 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=6 abort_ms=6 bestmove_ms=6 helper_elapsed_ns=6734100 helper_nodes=6050 search_elapsed_ns=6827500 exit_cause=helper-abort completed_depth=13 bestmove=e1d2 exception=- tt_reads=13966 tt_writes=6039 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","2","2","102","bestmove","-","SMPDIAG search=102 event=bestmove source=main-result move=e1d2 legal=true main_depth=13 main_move=e1d2 latest_move=e1d2 main_score_cp=159 main_nodes=6532 main_qnodes=6826 main_tt_hits=8124 main_pv=e1d2,e8d7,d2e3,d7e6,e3f4,e6e7,e2e4,e7f6,e4e5,f6e7,f4f5,e7d7,f5f6,d7c6 aborted=false helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 abort_ms=6 bestmove_ms=6 search_elapsed_ns=6826100"
"measured","1","2","2","102","drained","-","SMPDIAG search=102 event=drained helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=6915600 hashfull=3"
"measured","1","3","1","103","begin","-","SMPDIAG search=103 event=begin threads=1 helpers=0 available_cores=16"
"measured","1","3","1","103","bestmove","-","SMPDIAG search=103 event=bestmove source=main-result move=c4c5 legal=true main_depth=13 main_move=c4c5 latest_move=c4c5 main_score_cp=-590 main_nodes=605659 main_qnodes=1501526 main_tt_hits=198351 main_pv=c4c5,b6c5,b4c5,a3c5,g1h1,b2a1r,d1a1,a8a7,e4e5,f6h5,g2g4,g7h6,g4h5,g6h5,d2d4,c5c4,b5b6 aborted=false helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 abort_ms=2014 bestmove_ms=2014 search_elapsed_ns=2014218800"
"measured","1","3","1","103","drained","-","SMPDIAG search=103 event=drained helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=2014345200 hashfull=375"
"measured","1","3","2","104","begin","-","SMPDIAG search=104 event=begin threads=2 helpers=1 available_cores=16"
"measured","1","3","2","104","submit","1","SMPDIAG search=104 event=submit helper=1 ms=0 start_depth=2"
"measured","1","3","2","104","start","1","SMPDIAG search=104 event=start helper=1 ms=0"
