param_name,idx,fisher_diagonal,activation_count,value,min_value,max_value,status
KING_PST_EG[5],721,7.977400e-11,979,24.0,-200.0,200.0,STARVED
KING_PST_MG[30],682,7.977919e-11,9505,-13.0,-200.0,200.0,STARVED
KING_PST_EG[4],720,8.114824e-11,1022,6.0,-200.0,200.0,STARVED
KNIGHT_PST_EG[6],210,8.174380e-11,769,-41.0,-200.0,200.0,STARVED
QUEEN_PST_MG[6],530,8.393792e-11,2399,120.0,-200.0,200.0,STARVED
QUEEN_PST_EG[47],635,8.419243e-11,2553,70.0,-200.0,200.0,STARVED
KING_PST_EG[2],718,8.657229e-11,888,-58.0,-200.0,200.0,STARVED
PAWN_PST_MG[15],27,8.715111e-11,4801,-119.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[15],155,8.799832e-11,1563,-2.0,-200.0,200.0,STARVED
PAWN_PST_MG[14],26,8.845733e-11,3834,-48.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[0],140,8.990781e-11,1491,-167.0,-200.0,200.0,STARVED
QUEEN_PST_MG[63],587,9.422027e-11,1170,-7.0,-200.0,200.0,STARVED
KING_PST_EG[3],719,9.475075e-11,956,-42.0,-200.0,200.0,STARVED
BISHOP_PST_MG[0],268,9.478857e-11,2286,-3.0,-200.0,200.0,STARVED
QUEEN_PST_MG[62],586,9.560361e-11,1350,43.0,-200.0,200.0,STARVED
QUEEN_PST_EG[14],602,9.618829e-11,1700,66.0,-200.0,200.0,STARVED
QUEEN_PST_EG[54],642,9.709519e-11,2940,-3.0,-200.0,200.0,STARVED
QUEEN_PST_EG[6],594,9.818810e-11,2399,13.0,-200.0,200.0,STARVED
KING_PST_MG[35],687,1.014258e-10,14155,-69.0,-200.0,200.0,STARVED
QUEEN_PST_EG[22],610,1.021677e-10,2188,74.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[23],163,1.038295e-10,2451,13.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[12],152,1.052211e-10,3740,-3.0,-200.0,200.0,STARVED
BISHOP_PST_MG[62],330,1.053225e-10,2353,-4.0,-200.0,200.0,STARVED
BISHOP_PST_MG[12],280,1.067983e-10,3865,37.0,-200.0,200.0,STARVED
KNIGHT_PST_MG[16],156,1.084661e-10,2995,-60.0,-200.0,200.0,STARVED
ROOK_PST_MG[7],403,1.097004e-10,6492,-10.0,-200.0,200.0,STARVED
QUEEN_PST_MG[3],527,1.098424e-10,3614,-7.0,-200.0,200.0,STARVED
PAWN_PST_MG[11],23,1.115254e-10,5288,63.0,-200.0,200.0,STARVED
PAWN_PST_MG[10],22,1.131731e-10,5384,21.0,-200.0,200.0,STARVED
QUEEN_PST_EG[5],593,1.132569e-10,2517,37.0,-200.0,200.0,STARVED
QUEEN_PST_EG[15],603,1.140039e-10,2046,56.0,-200.0,200.0,STARVED
PAWN_PST_MG[8],20,1.151506e-10,7833,35.0,-200.0,200.0,STARVED
KING_PST_EG[8],724,1.153675e-10,1055,-56.0,-200.0,200.0,STARVED
KNIGHT_PST_EG[0],204,1.159580e-10,1491,-18.0,-200.0,200.0,STARVED
QUEEN_PST_MG[4],528,1.167400e-10,3061,126.0,-200.0,200.0,STARVED
