fen,wdl_stockfish,game_result
"r1b2rk1/1p1n1ppp/p2b4/3p4/8/3B1N1P/PPPB1PP1/R4RK1 w - -",0.549324,0.5
"r1b2rk1/1p1n1ppp/p2b4/3p4/8/3B1N1P/PPPB1PP1/3R1RK1 b - -",0.454679,0.5
"r1b2rk1/1p3ppp/p2b4/2np4/8/3B1N1P/PPPB1PP1/3R1RK1 w - -",0.563283,0.5
"r1b2rk1/1p3ppp/p2b4/2np4/8/2BB1N1P/PPP2PP1/3R1RK1 b - -",0.485865,0.5
"r1b1r1k1/1p3ppp/p2b4/2np4/8/2BB1N1P/PPP2PP1/3R1RK1 w - -",0.535288,0.5
"r1b1r1k1/1p3ppp/p2b4/2np4/1B6/3B1N1P/PPP2PP1/3R1RK1 b - -",0.563283,0.5
"r3r1k1/1p3ppp/p2Bb3/3R4/8/5N1P/PnP2PP1/5RK1 w - -",0.436717,0.5
"r3r1k1/1p3ppp/p2Bb3/8/3R4/5N1P/PnP2PP1/5RK1 b - -",0.558308,0.5
"3rr1k1/1p3ppp/p2Bb3/8/3R4/5N1P/PnP2PP1/5RK1 w - -",0.480821,0.5
"3rr1k1/1p3ppp/p2Bb3/8/3R4/5N1P/PnP2PP1/1R4K1 b - -",0.522203,0.5
